央视频道,#genre#
CCTV-1,http://39.134.144.6:8089/PLTV/88888888/224/3221225859/index.m3u8$高清
CCTV-1,http://39.134.144.6:8089/PLTV/88888888/224/3221226750/index.m3u8$高清
CCTV-2,http://39.134.144.6:8089/PLTV/88888888/224/3221225751/index.m3u8$高清
CCTV-3,http://39.134.144.6:8089/PLTV/88888888/224/3221226338/index.m3u8$高清
CCTV-4,http://39.134.144.6:8089/PLTV/88888888/224/3221225757/index.m3u8$高清
CCTV-4美洲,http://39.134.144.6:8089/PLTV/88888888/224/3221226395/index.m3u8$高清
CCTV-4欧洲,http://39.134.144.6:8089/PLTV/88888888/224/3221226318/index.m3u8$高清
CCTV-5,http://39.134.144.6:8089/PLTV/88888888/224/3221226425/index.m3u8$高清
CCTV-5+,http://39.134.144.6:8089/PLTV/88888888/224/3221225781/index.m3u8$高清
CCTV-6,http://39.134.144.6:8089/PLTV/88888888/224/3221226427/index.m3u8$高清
CCTV-7,http://39.134.144.6:8089/PLTV/88888888/224/3221225753/index.m3u8$高清
CCTV-8,http://39.134.144.6:8089/PLTV/88888888/224/3221226429/index.m3u8$高清
CCTV-9,http://39.134.144.6:8089/PLTV/88888888/224/3221225759/index.m3u8$高清
CCTV-10,http://39.134.144.6:8089/PLTV/88888888/224/3221225761/index.m3u8$高清
CCTV-11,http://39.134.144.6:8089/PLTV/88888888/224/3221226407/index.m3u8$高清
CCTV-12,http://39.134.144.6:8089/PLTV/88888888/224/3221225763/index.m3u8$高清
CCTV-13,http://39.134.144.6:8089/PLTV/88888888/224/3221226328/index.m3u8$高清
CCTV-14,http://39.134.144.6:8089/PLTV/88888888/224/3221225765/index.m3u8$高清
CCTV-15,http://39.134.144.6:8089/PLTV/88888888/224/3221226409/index.m3u8$高清
CCTV-16,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000649/index.m3u8$高清
CCTV-17,http://39.134.144.6:8089/PLTV/88888888/224/3221226093/index.m3u8$高清
CETV-1,http://39.134.144.6:8089/PLTV/88888888/224/3221226252/index.m3u8$高清
CETV-4,http://39.134.144.6:8089/PLTV/88888888/224/3221226416/index.m3u8$高清
CGTN,http://39.134.144.6:8089/PLTV/88888888/224/3221226320/index.m3u8$高清
CGTN纪录,http://39.134.144.6:8089/PLTV/88888888/224/3221226401/index.m3u8$高清
CGTN西语,http://39.134.144.6:8089/PLTV/88888888/224/3221226324/index.m3u8$高清
CGTN俄语,http://39.134.144.6:8089/PLTV/88888888/224/3221226326/index.m3u8$高清
CGTN阿语,http://39.134.144.6:8089/PLTV/88888888/224/3221226405/index.m3u8$高清
CGTN法语,http://39.134.144.6:8089/PLTV/88888888/224/3221226399/index.m3u8$高清


4K频道,#genre#
CCTV4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226615/index.m3u8$超高清
北京卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226733/index.m3u8$超高清
北京卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226742/index.m3u8$超高清
东方卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226786/index.m3u8$超高清
广东卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226741/index.m3u8$超高清
湖南卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226783/index.m3u8$超高清
山东卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226760/index.m3u8$超高清
深圳卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226736/index.m3u8$超高清
浙江卫视4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226776/index.m3u8$超高清
江苏卫视4k,http://39.134.144.6:8089/PLTV/88888888/224/3221226778/index.m3u8$超高清
四川卫视4k,http://39.134.144.6:8089/PLTV/88888888/224/3221226781/index.m3u8$超高清
欢笑剧场4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226478/index.m3u8$超高清

卫视频道,#genre#
安徽卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225775/index.m3u8$高清
北京卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226146/index.m3u8$高清
重庆卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226310/index.m3u8$高清
东方卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226347/index.m3u8$高清
东南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226278/index.m3u8$高清
甘肃卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226387/index.m3u8$高清
广东卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226213/index.m3u8$高清
贵州卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225777/index.m3u8$高清
海南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226325/index.m3u8$高清
河北卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225779/index.m3u8$高清
河南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226415/index.m3u8$高清
黑龙江卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226148/index.m3u8$高清
湖北卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225769/index.m3u8$高清
湖南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225767/index.m3u8$高清
吉林卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226507/index.m3u8$高清
江苏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226211/index.m3u8$高清
江西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226312/index.m3u8$高清
辽宁卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225789/index.m3u8$高清
深圳卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226150/index.m3u8$高清
四川卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226327/index.m3u8$高清
天津卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226485/index.m3u8$高清
天津卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226484/index.m3u8$高清
浙江卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225585/index.m3u8$高清
青海卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226400/index.m3u8$高清
广西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226402/index.m3u8$高清
云南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226525/index.m3u8$高清
西藏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226749/index.m3u8$高清
新疆卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226756/index.m3u8$高清
宁夏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226752/index.m3u8$高清
兵团卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226751/index.m3u8$高清
中国交通,http://39.134.144.6:8089/PLTV/88888888/224/3221226295/index.m3u8$高清
陕西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226785/index.m3u8$高清
内蒙古卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226790/index.m3u8$高清


山东频道,#genre#
山东卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226144/index.m3u8$高清
山东新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226077/index.m3u8$高清
山东教育,http://39.134.144.6:8089/PLTV/88888888/224/3221226049/index.m3u8$高清
山东农科,http://39.134.144.6:8089/PLTV/88888888/224/3221226018/index.m3u8$高清
山东齐鲁,http://39.134.144.6:8089/PLTV/88888888/224/3221226045/index.m3u8$高清
山东少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221226195/index.m3u8$高清
山东少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221226617/index.m3u8$高清
山东生活,http://39.134.144.6:8089/PLTV/88888888/224/3221225841/index.m3u8$高清
山东体育休闲,http://39.134.144.6:8089/PLTV/88888888/224/3221226075/index.m3u8$高清
山东体育休闲,http://39.134.144.6:8089/PLTV/88888888/224/3221226468/index.m3u8$高清
山东文旅,http://39.134.144.6:8089/PLTV/88888888/224/3221225802/index.m3u8$高清
山东文旅,http://39.134.144.6:8089/PLTV/88888888/224/3221226723/index.m3u8$高清
山东综艺,http://39.134.144.6:8089/PLTV/88888888/224/3221225855/index.m3u8$高清


地方频道,#genre#
纪实科教,http://39.134.144.6:8089/PLTV/88888888/224/3221226601/index.m3u8$高清
卡酷少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221226529/index.m3u8$高清
生态环境,http://39.134.144.6:8089/PLTV/88888888/224/3221226735/index.m3u8$高清
金鹰纪实,http://39.134.144.6:8089/PLTV/88888888/224/3221226386/index.m3u8$高清
金鹰卡通,http://39.134.144.6:8089/PLTV/88888888/224/3221226404/index.m3u8$高清
财富天下,http://39.134.144.6:8089/PLTV/88888888/224/3221226787/index.m3u8$高清
0531济南新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226215/index.m3u8$高清
0531济南新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226478/index.m3u8$高清
0531济南教育,http://39.134.144.6:8089/PLTV/88888888/224/3221225987/index.m3u8$高清
0531历城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226537/index.m3u8$高清
0531平阴综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226197/index.m3u8$高清
0531济阳综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225936/index.m3u8$高清
0531商河综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226266/index.m3u8$高清
0531章丘综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226486/index.m3u8$高清
0531章丘综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226297/index.m3u8$高清
0531莱钢综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226729/index.m3u8$高清
0533淄博新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225986/index.m3u8$高清
0533淄博影视,http://39.134.144.6:8089/PLTV/88888888/224/3221226014/index.m3u8$高清
0533淄川新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226539/index.m3u8$高清
0533临淄TV1,http://39.134.144.6:8089/PLTV/88888888/224/3221226789/index.m3u8$高清
0534德州新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226065/index.m3u8$高清
0534德州经济生活,http://39.134.144.6:8089/PLTV/88888888/224/3221226069/index.m3u8$高清
0534宁津综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226443/index.m3u8$高清
0534武城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226225/index.m3u8$高清
0534夏津综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226182/index.m3u8$高清
0534夏津公共,http://39.134.144.6:8089/PLTV/88888888/224/3221226255/index.m3u8$高清
0534陵城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226477/index.m3u8$高清
0534平原综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226174/index.m3u8$高清
0534齐河综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226217/index.m3u8$高清
0534禹城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226156/index.m3u8$高清
0534禹城综艺,http://39.134.144.6:8089/PLTV/88888888/224/3221226158/index.m3u8$高清
0534临邑综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226535/index.m3u8$高清
0537济宁综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226333/index.m3u8$高清
0537济宁高新,http://39.134.144.6:8089/PLTV/88888888/224/3221226521/index.m3u8$高清
0537任城1台,http://39.134.144.6:8089/PLTV/88888888/224/3221226599/index.m3u8$高清
0537任城2台,http://39.134.144.6:8089/PLTV/88888888/224/3221226466/index.m3u8$高清
0537兖州新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226140/index.m3u8$高清
0537邹城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226034/index.m3u8$高清
0537嘉祥综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225814/index.m3u8$高清
0537梁山综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226321/index.m3u8$高清
0537曲阜综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226209/index.m3u8$高清
0537微山综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226250/index.m3u8$高清
0537汶上综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226734/index.m3u8$高清
0537鱼台综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226422/index.m3u8$高清
0537鱼台生活,http://39.134.144.6:8089/PLTV/88888888/224/3221226541/index.m3u8$高清
0538泰山,http://39.134.144.6:8089/PLTV/88888888/224/3221226605/index.m3u8$高清
0538泰安综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225720/index.m3u8$高清
0538岱岳综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226462/index.m3u8$高清
0538新泰乡村,http://39.134.144.6:8089/PLTV/88888888/224/3221226180/index.m3u8$高清
0538新泰综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226011/index.m3u8$高清
0538宁阳综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226244/index.m3u8$高清
0538东平综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225864/index.m3u8$高清
0538肥城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226091/index.m3u8$高清
0539临沂综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225984/index.m3u8$高清
0539兰陵综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225938/index.m3u8$高清
0539兰陵公共,http://39.134.144.6:8089/PLTV/88888888/224/3221226384/index.m3u8$高清
0539临沭综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226495/index.m3u8$高清
0539沂南综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226509/index.m3u8$高清
0539沂南温泉旅游,http://39.134.144.6:8089/PLTV/88888888/224/3221226392/index.m3u8$高清
0539沂水综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226394/index.m3u8$高清
0539沂水生活,http://39.134.144.6:8089/PLTV/88888888/224/3221226517/index.m3u8$高清
0539蒙阴综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226142/index.m3u8$高清
0539河东综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226426/index.m3u8$高清
0530巨野新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226134/index.m3u8$高清
0530定陶综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226176/index.m3u8$高清
0530单县综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226264/index.m3u8$高清
0530郓城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226099/index.m3u8$高清
0543邹平综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226152/index.m3u8$高清
0543阳信新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226085/index.m3u8$高清
0543沾化综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226012/index.m3u8$高清
0543无棣综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225830/index.m3u8$高清
0543博兴综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226410/index.m3u8$高清
0546广饶综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226046/index.m3u8$高清
